"","bigram","n.x","nusers.x","nbigrams.x","unique_users.x","n.y","nusers.y","nbigrams.y","unique_users.y","usage.x","usage.y","ratio"
"607","media companies",30,20,5406079,548,3,3,6162567,599,2.19744514347564e-07,4.33442513628624e-09,50.6974990773152
"743","federal reserve",26,23,5406079,548,3,3,6162567,599,2.18731866816008e-07,4.33442513628624e-09,50.4638700493092
"729","www.wsj.com articles",27,12,5406079,548,2,2,6162567,599,1.22867900495412e-07,2.43811413916101e-09,50.3946466336037
"258","political opponents",50,32,5406079,548,6,5,6162567,599,5.68095265202687e-07,1.13778659827514e-08,49.9298608424382
"1137","blame trump",19,17,5406079,548,2,2,6162567,599,1.21517703786671e-07,2.43811413916101e-09,49.8408593079597
"1969","called trump",12,11,5406079,548,1,1,6162567,599,5.26576716408908e-08,1.08360628407156e-09,48.5948378252607
"1978","corporate media",12,11,5406079,548,1,1,6162567,599,5.26576716408908e-08,1.08360628407156e-09,48.5948378252607
"2022","korean war",12,11,5406079,548,1,1,6162567,599,5.26576716408908e-08,1.08360628407156e-09,48.5948378252607
"2070","tech giants",12,11,5406079,548,1,1,6162567,599,5.26576716408908e-08,1.08360628407156e-09,48.5948378252607
"2074","typical leftist",12,11,5406079,548,1,1,6162567,599,5.26576716408908e-08,1.08360628407156e-09,48.5948378252607
"971","white guilt",22,14,5406079,548,2,2,6162567,599,1.16454466128893e-07,2.43811413916101e-09,47.7641568367947
"122","voter id",76,37,5406079,548,10,6,6162567,599,9.87668892443888e-07,2.08594209683775e-08,47.3488163425617
"1140","cnn msnbc",19,16,5406079,548,2,2,6162567,599,1.14766720242967e-07,2.43811413916101e-09,47.0719226797397
"1166","lower taxes",19,16,5406079,548,2,2,6162567,599,1.14766720242967e-07,2.43811413916101e-09,47.0719226797397
"1594","false claim",15,13,5406079,548,2,1,6162567,599,7.56110156894842e-08,1.62540942610734e-09,46.5181353540957
"575","gender studies",31,28,5406079,548,4,4,6162567,599,3.13245636427863e-07,6.77253927544725e-09,46.2523174377866
"2120","killing babies",11,11,5406079,548,1,1,6162567,599,4.86070815146684e-08,1.08360628407156e-09,44.8567733771637
"2129","political discourse",11,11,5406079,548,1,1,6162567,599,4.86070815146684e-08,1.08360628407156e-09,44.8567733771637
"2131","private jets",11,11,5406079,548,1,1,6162567,599,4.86070815146684e-08,1.08360628407156e-09,44.8567733771637
"2150","true believer",11,11,5406079,548,1,1,6162567,599,4.86070815146684e-08,1.08360628407156e-09,44.8567733771637
"357","hate crimes",42,28,5406079,548,6,4,6162567,599,4.20923823949941e-07,9.48155498562615e-09,44.3939653978755
"259","washington post",50,33,5406079,548,6,6,6162567,599,5.85310273239132e-07,1.32741769798766e-08,44.0939030816337
"451","lolita express",37,25,5406079,548,6,3,6162567,599,3.33498587058975e-07,7.58524398850092e-09,43.9667580323787
"216","al gore",54,40,5406079,548,7,7,6162567,599,7.6117339455262e-07,1.7337700545145e-08,43.9027881794723
"347","russian government",43,19,5406079,548,4,4,6162567,599,2.97043275922974e-07,6.77253927544725e-09,43.8599561910045
"706","dumb fuck",27,14,5406079,548,3,2,6162567,599,1.41770654417783e-07,3.25081885221468e-09,43.6107518944647
"1004","gun crime",21,18,5406079,548,3,2,6162567,599,1.41095556063413e-07,3.25081885221468e-09,43.4030816473482
"335","white privilege",44,31,5406079,548,6,5,6162567,599,4.86070815146684e-07,1.13778659827514e-08,42.7207365496797
"1396","socialism communism",17,16,5406079,548,2,2,6162567,599,1.0329004821867e-07,2.43811413916101e-09,42.3647304117657
"1410","wont happen",17,15,5406079,548,2,2,6162567,599,9.72141630293369e-08,2.43811413916101e-09,39.8726874463677
"1269","radical left",18,14,5406079,548,2,2,6162567,599,9.62015154977813e-08,2.43811413916101e-09,39.4573469521347
"475","mob rule",36,16,5406079,548,4,3,6162567,599,2.12318432449489e-07,5.4180314203578e-09,39.1873756308833
"441","carbon dioxide",37,22,5406079,548,6,3,6162567,599,2.95017980859863e-07,7.58524398850092e-09,38.8936705671042
"969","truth hurts",22,20,5406079,548,3,3,6162567,599,1.6303625258045e-07,4.33442513628624e-09,37.6142735089758
"1068","drag queen",20,16,5406079,548,3,2,6162567,599,1.20505056255115e-07,3.25081885221468e-09,37.069139110295
"1296","violent criminals",18,13,5406079,548,2,2,6162567,599,8.97880811312625e-08,2.43811413916101e-09,36.8268571553258
"1436","crime statistics",16,14,5406079,548,2,2,6162567,599,8.60750401822254e-08,2.43811413916101e-09,35.3039420098048
"225","ice age",54,24,5406079,548,6,6,6162567,599,4.64130118629647e-07,1.32741769798766e-08,34.9648885451248
"1342","hillary lost",17,13,5406079,548,2,2,6162567,599,8.50623926506698e-08,2.43811413916101e-09,34.8886015155718
"462","border illegally",36,28,5406079,548,7,4,6162567,599,3.62190267119717e-07,1.08360628407156e-08,33.4245262734005
"100","anti trump",86,63,5406079,548,15,12,6162567,599,1.87947381856718e-06,5.63475267717211e-08,33.3550366137884
"1495","paul ryan",16,13,5406079,548,2,2,6162567,599,8.0336704170077e-08,2.43811413916101e-09,32.9503458758178
"75","law abiding",107,61,5406079,548,16,14,6162567,599,2.26022929043208e-06,6.90799006095619e-08,32.7190582280488
"156","ad hominem",66,39,5406079,548,12,7,6162567,599,9.04631794856329e-07,2.81737633858606e-08,32.1090151310894
"439","bill nye",37,23,5406079,548,5,5,6162567,599,3.078448495929e-07,9.75245655664404e-09,31.5658775617078
"1205","average iq",18,11,5406079,548,2,2,6162567,599,7.6961212398225e-08,2.43811413916101e-09,31.5658775617078
"491","unemployment rate",35,20,5406079,548,5,4,6162567,599,2.55187177952009e-07,8.1270471305367e-09,31.3997413640146
"1557","anti war",15,13,5406079,548,2,2,6162567,599,7.56110156894842e-08,2.43811413916101e-09,31.0120902360638
"1567","called racist",15,13,5406079,548,2,2,6162567,599,7.56110156894842e-08,2.43811413916101e-09,31.0120902360638
"50","bill clinton",134,90,5406079,548,25,18,6162567,599,4.14679164172015e-06,1.33825376082838e-07,30.9865868723828
"1363","mass killings",17,11,5406079,548,2,2,6162567,599,7.29106222720026e-08,2.43811413916101e-09,29.9045155847758
"1076","government run",20,17,5406079,548,3,3,6162567,599,1.27593588976005e-07,4.33442513628624e-09,29.4372575287637
"431","rent free",38,28,5406079,548,7,5,6162567,599,3.81768119396458e-07,1.30032754088587e-08,29.359381186095
"466","defensive gun",36,14,5406079,548,7,2,6162567,599,1.87339793337785e-07,6.50163770442936e-09,28.8142467874142
"1640","pride month",15,12,5406079,548,2,2,6162567,599,7.02102288545211e-08,2.43811413916101e-09,28.7969409334878
"1656","strong independent",15,12,5406079,548,2,2,6162567,599,7.02102288545211e-08,2.43811413916101e-09,28.7969409334878
"390","sharia law",41,25,5406079,548,7,5,6162567,599,3.68603701486236e-07,1.30032754088587e-08,28.3469887314021
"1448","dumb fucks",16,11,5406079,548,2,2,6162567,599,6.88600321457803e-08,2.43811413916101e-09,28.2431536078438
"1183","sanctuary cities",19,16,5406079,548,4,2,6162567,599,1.14766720242967e-07,4.06352356526835e-09,28.2431536078438
"217","anti white",54,22,5406079,548,7,6,6162567,599,4.26999709139275e-07,1.51704879770018e-08,28.1467352788254
"426","constitutional rights",38,22,5406079,548,7,4,6162567,599,3.02781611935122e-07,1.08360628407156e-08,27.9420317495249
"104","virtue signaling",84,59,5406079,548,18,11,6162567,599,1.72150080364451e-06,6.17655581920789e-08,27.8715331656353
"1082","i’ll wait",20,16,5406079,548,3,3,6162567,599,1.20505056255115e-07,4.33442513628624e-09,27.8018543327213
"1890","pedo island",13,13,5406079,548,2,2,6162567,599,6.61596387282987e-08,2.43811413916101e-09,27.1355789565558
"1891","people agree",13,13,5406079,548,2,2,6162567,599,6.61596387282987e-08,2.43811413916101e-09,27.1355789565558
"1710","fake outrage",14,12,5406079,548,2,2,6162567,599,6.58220895511135e-08,2.43811413916101e-09,26.9971321251448
"1641","private server",15,11,5406079,548,2,2,6162567,599,6.48094420195579e-08,2.43811413916101e-09,26.5817916309118
"165","hate crime",64,38,5406079,548,16,6,6162567,599,8.55687164164476e-07,3.22372869511289e-08,26.5433988121172
"36","illegal immigration",147,79,5406079,548,30,17,6162567,599,3.99658225787274e-06,1.51163076627983e-07,26.4388787726811
"933","false accusations",22,17,5406079,548,4,3,6162567,599,1.39745359354672e-07,5.4180314203578e-09,25.7926446918691
"206","low iq",56,28,5406079,548,8,8,6162567,599,5.57968789887131e-07,2.19430272524491e-08,25.4280680358202
"588","trump tower",31,18,5406079,548,5,4,6162567,599,2.052298997286e-07,8.1270471305367e-09,25.2527020493662
"1227","free markets",18,15,5406079,548,4,2,6162567,599,1.026149498643e-07,4.06352356526835e-09,25.2527020493662
"30","hillary clinton",155,89,5406079,548,32,20,6162567,599,4.73919044768017e-06,1.87734788715398e-07,25.244071597538
"1875","national tv",13,12,5406079,548,2,2,6162567,599,6.14339502477059e-08,2.43811413916101e-09,25.1973233168018
"1791","universal basic",14,11,5406079,548,2,2,6162567,599,6.07588518933356e-08,2.43811413916101e-09,24.9204296539798
"1116","trump rally",20,14,5406079,548,3,3,6162567,599,1.06327990813337e-07,4.33442513628624e-09,24.5310479406364
"955","political discussion",22,16,5406079,548,4,3,6162567,599,1.31981728279412e-07,5.4180314203578e-09,24.3597199867653
"2042","political enemies",12,11,5406079,548,3,1,6162567,599,5.26576716408908e-08,2.16721256814312e-09,24.2974189126303
"325","jeffrey epstein",44,23,5406079,548,7,6,6162567,599,3.64553111360013e-07,1.51704879770018e-08,24.0304143091948
"297","anti american",46,32,5406079,548,8,8,6162567,599,5.23538773814241e-07,2.19430272524491e-08,23.8590039464955
